Game,MoveNumber,Move,TimeRemaining,EvalAfter,EvalChange,PlayerColor
1.0,2.0,d5,0:03:00,0.56,,Black
1.0,4.0,Bxc4,0:02:57,0.32,-0.24000000000000005,Black
1.0,6.0,Nc3,0:02:55,0.13,-0.19,Black
1.0,8.0,b3,0:02:54,0.01,-0.12000000000000001,Black
1.0,10.0,Bb2,0:02:53,0.0,-0.01,Black
1.0,12.0,Nf3,0:02:52,0.04,0.04,Black
1.0,14.0,O-O,0:02:51,0.21,0.16999999999999998,Black
1.0,16.0,d4,0:02:51,0.19,-0.01999999999999999,Black
1.0,18.0,Re1,0:02:42,-0.01,-0.2,Black
1.0,20.0,dxc5,0:02:37,-0.14,-0.13,Black
1.0,22.0,Be2,0:02:33,-0.15,-0.009999999999999981,Black
1.0,24.0,Rc1,0:02:29,0.04,0.19,Black
1.0,26.0,Qc2,0:02:29,-0.09,-0.13,Black
1.0,28.0,Rxd5,0:02:28,3.73,3.82,Black
1.0,30.0,Rfd8,0:02:05,3.97,0.2400000000000002,Black
1.0,32.0,Rxc5,0:01:56,3.88,-0.0900000000000003,Black
1.0,34.0,Bd5,0:01:51,3.7,-0.17999999999999972,Black
1.0,36.0,Bxc5,0:01:50,4.12,0.41999999999999993,Black
1.0,38.0,a5,0:01:46,3.88,-0.2400000000000002,Black
1.0,40.0,Qe7,0:01:45,4.01,0.1299999999999999,Black
1.0,42.0,Bb4,0:01:42,4.31,0.2999999999999998,Black
1.0,44.0,Rb8,0:01:40,4.49,0.1800000000000006,Black
1.0,46.0,Bxa5,0:01:30,4.54,0.04999999999999982,Black
1.0,48.0,g6,0:01:28,4.81,0.2699999999999996,Black
1.0,50.0,Qb4,0:01:24,5.01,0.20000000000000018,Black
1.0,52.0,Qg4,0:01:15,4.82,-0.1899999999999995,Black
1.0,54.0,Qh5,0:01:11,5.34,0.5199999999999996,Black
1.0,56.0,Bxa2,0:01:10,6.29,0.9500000000000002,Black
1.0,58.0,Rf8,0:00:59,5.05,-1.2400000000000002,Black
1.0,60.0,Qg3,0:00:54,4.64,-0.41000000000000014,Black
1.0,62.0,fxe3,0:00:52,4.55,-0.08999999999999986,Black
1.0,64.0,Re8,0:00:49,4.67,0.1200000000000001,Black
1.0,66.0,Rb8,0:00:47,4.47,-0.20000000000000018,Black
1.0,68.0,Bd5,0:00:45,4.64,0.16999999999999993,Black
1.0,70.0,Bxf3,0:00:35,4.6,-0.040000000000000036,Black
1.0,72.0,Kg7,0:00:35,4.52,-0.08000000000000007,Black
1.0,74.0,Rd8,0:00:32,4.64,0.1200000000000001,Black
1.0,76.0,Kf6,0:00:31,5.26,0.6200000000000001,Black
1.0,78.0,Kg7,0:00:29,5.19,-0.0699999999999994,Black
1.0,80.0,Re8,0:00:28,5.4,0.20999999999999996,Black
1.0,82.0,h5,0:00:24,5.6,0.1999999999999993,Black
1.0,84.0,gxf5+,0:00:22,6.44,0.8400000000000007,Black
1.0,86.0,Re7,0:00:08,-inf,-inf,Black
1.0,88.0,Rxe6+,0:00:07,-inf,,Black
1.0,90.0,Rf6+,0:00:07,-inf,,Black
1.0,92.0,Kf5,0:00:06,-inf,,Black
1.0,94.0,Kg5,0:00:05,-inf,,Black
1.0,96.0,Kxh4,0:00:05,-inf,,Black
1.0,98.0,Kg5,0:00:05,-inf,,Black
1.0,100.0,h4,0:00:05,-inf,,Black
1.0,102.0,h5,0:00:05,-inf,,Black
1.0,104.0,h6,0:00:05,-inf,,Black
1.0,106.0,h7,0:00:05,-inf,,Black
1.0,108.0,h8=Q,0:00:05,-inf,,Black
